hospital_name,location,type,ownership,total_beds,icu_beds_used,ventilators,oxygen_used,medications_used,icu_bed_demand,oxygen_demand,medication_demand,last_renovation_year,operational_status
PMC General Hospital - Aundh,Pune,General Hospital,Government,150,10,5,Yes,300,15,20,350,2018,Functional
PMC Maternity Home - Kothrud,Pune,Maternity Home,Government,40,2,1,Yes,100,5,8,120,2015,Functional
PMC Urban Health Center - Hadapsar,Pune,Health Center,Government,25,0,0,No,0,1,3,10,2010,Under Maintenance
PMC General Hospital - Yerwada,Pune,General Hospital,Private,120,8,4,Yes,250,12,18,300,2020,Functional
PMC Maternity Home - Shivajinagar,Pune,Maternity Home,Government,30,2,1,Yes,90,4,6,100,2016,Functional
PMC Urban Health Center - Bibwewadi,Pune,Health Center,Government,20,0,0,No,0,1,2,8,2012,Functional
PMC General Hospital - Kasba,Pune,General Hospital,Government,100,6,3,Yes,200,10,14,250,2017,Functional
PMC Maternity Home - Warje,Pune,Maternity Home,Private,35,2,1,Yes,95,5,7,110,2014,Functional
PMC Urban Health Center - Kharadi,Pune,Health Center,Government,18,0,0,No,0,1,2,9,2008,Under Maintenance
PMC General Hospital - Katraj,Pune,General Hospital,Government,110,7,4,Yes,220,11,16,270,2019,Functional
PMC Maternity Home - Hadapsar,Pune,Maternity Home,Private,45,3,2,Yes,120,6,9,140,2013,Functional
PMC Urban Health Center - Viman Nagar,Pune,Health Center,Government,22,0,0,No,0,1,3,11,2011,Functional
PMC General Hospital - Baner,Pune,General Hospital,Government,140,9,5,Yes,280,13,19,330,2017,Functional
PMC Maternity Home - Aundh,Pune,Maternity Home,Private,38,2,1,Yes,85,4,7,100,2016,Functional
PMC Health Center - Shivaji Nagar,Pune,Health Center,Government,19,0,0,No,0,1,3,9,2012,Under Maintenance
PMC General Hospital - Vishrantwadi,Pune,General Hospital,Government,125,8,4,Yes,230,11,15,290,2019,Functional
PMC Maternity Home - Camp,Pune,Maternity Home,Government,32,2,1,Yes,98,5,7,115,2015,Functional
PMC Urban Health Center - Erandwane,Pune,Health Center,Government,21,0,0,No,0,1,2,10,2010,Functional
PMC General Hospital - Dhankawadi,Pune,General Hospital,Private,130,7,4,Yes,240,12,17,310,2021,Functional
PMC Maternity Home - Yerwada,Pune,Maternity Home,Private,37,3,1,Yes,105,6,8,130,2014,Functional
PMC Urban Health Center - Kalyani Nagar,Pune,Health Center,Government,23,0,0,No,0,1,2,12,2011,Functional
PMC General Hospital - Hadapsar,Pune,General Hospital,Government,115,6,3,Yes,210,10,14,260,2018,Functional
