hospital_name,location,type,ownership,total_beds,icu_beds,ventilators,oxygen_supply,last_renovation_year,operational_status
PMC General Hospital - Aundh,Pune,General Hospital,Government,150,10,5,Yes,2018,Functional
PMC Maternity Home - Kothrud,Pune,Maternity Home,Government,40,2,1,Yes,2015,Functional
PMC Urban Health Center - Hadapsar,Pune,Health Center,Government,25,0,0,No,2010,Under Maintenance
PMC General Hospital - Yerwada,Pune,General Hospital,Private,120,8,4,Yes,2020,Functional
PMC Maternity Home - Shivajinagar,Pune,Maternity Home,Government,30,2,1,Yes,2016,Functional
PMC Urban Health Center - Bibwewadi,Pune,Health Center,Government,20,0,0,No,2012,Functional
PMC General Hospital - Kasba,Pune,General Hospital,Government,100,6,3,Yes,2017,Functional
PMC Maternity Home - Warje,Pune,Maternity Home,Private,35,2,1,Yes,2014,Functional
PMC Urban Health Center - Kharadi,Pune,Health Center,Government,18,0,0,No,2008,Under Maintenance
PMC General Hospital - Katraj,Pune,General Hospital,Government,110,7,4,Yes,2019,Functional
PMC Maternity Home - Hadapsar,Pune,Maternity Home,Private,45,3,2,Yes,2013,Functional
PMC Urban Health Center - Viman Nagar,Pune,Health Center,Government,22,0,0,No,2011,Functional
